gtin,product_id,price,price_per_unit,price_unit,description,review_count,availability,currency,sku,brand,weight,rating_score,condition,name,category
3600522634133,4545456,3,1.2,100ml,"Offers 48 hour protection. Long-lasting formula tested at 45 degrees. Provides sweat protection from heat rushes. Protection from physical activity, extreme temperatures and stressful situations. Effectively combats bad odors and skin wetness.
Designed to deliver sweat protection from heat rushes such as: physical activity, extreme temperatures and stressful situations.",90,InStock,£,910001256294,L'Oreal Men Expert,250ml,4.4778,NewCondition,L'Oreal Men Expert Thermic Resist 48H Anti-Perspirant Deodorant,Toiletries & Beauty
5011408054392,854749,15,30,100ml,"Enriched with Collagen Amino Acids and Melanin Block. Targets sagging and age spots. Skin feels hydrated, smoother and more comfortable. The appearance of dark pigmentation appears reduced. A source of hydration for mature skin.
L'Oreal Paris Age Perfect Re-Hydrating Day Cream, a source of intense hydration for mature and menopausal skin. The luxurious moisturiser, enriched with Collagen AA Fractions and Melanin Block, helps to firm facial contours to fight against skin sagging and to reduce the appearance of age spots. Skin is intensely re-hydrated, more elastic and radiant. Instant + Long Lasting Result: Day after day: Skin is intensely re-hydrated, more elastic and radiant. After 1 month: Age spots appear reduced. Skin feels denser. Sagging appears reduced. The contours of the face look remodelled. Giving a tighter more toned look from within. Dermatologically Tested *Clinical test on 42 women during 4 weeksEnriched with Collagen Amino Acids and Melanin Block, this dermatologically approved moisturiser intensely hydrates skin. It effectively firms facial contours, and reduces appearance of age spots, revealing a brighter and more even skin tone. Clinically Proven Results:Immediately:- Skin is intensely hydrated and feels more elastic and supple.Day after day:- This formula hydrates the skin, leaving it feeling firmer, more toned and looks retightened. Skin is gently exfoliated to improve the look of dark spots.Key Ingredients:Collagen Amino Acid Fractions: Collagen Amino Acid Fractions are components inspired of collagen, naturally found in skin. Our Amino Acid fractions along with the other components of the formula help to leave skin feeling firmer and retighten.Melanin Block: This complex helps reduce age spots.",355,InStock,£,439637,L'Oreal Paris,50ml,4.5803,NewCondition,L'Oreal Paris Age Perfect Day Moisturising Cream,Toiletries & Beauty
30173576,7310692,10.95,7.67,10g,"Full coverage with a natural matte finish. Ultra-blendable formula. Up to 24H wear. Doesn't crease or settle into fine lines. Large doe foot applicator for perfect on-the-go application.
Whatever your concern; blemishes, dark circles, uneven skin tone, we've got you covered with Infallible 24H More Than Concealer. It corrects, contours & highlights, that's why it's our ‘More Than Concealer'. The high pigment elastic formula gives you a full coverage finish with a lightweight feel. The longwear formula doesn't crease or settle into fine lines. Use the doe foot applicator to dab, dot or swipe with expert precision and ease, and blend seamlessly for a natural matte finish.",30,InStock,£,1000362424908,L'Oreal Paris,14.28g,4.8,NewCondition,L'Oreal Paris Infallible 24H More Than Concealer 322 Ivory,Toiletries & Beauty
3600520932903,2838462,8.95,1.69,10g,"Silky & super blendable texture. Natural, radiant finish. Formula powered by hyaluronic acid. Smooths & improves skin texture & softness over time. Enriched with mineral pigments.
This silky, soft textured powder perfectly matches the colour and texture of your skin for a radiant, natural finish. The micro-fine formula lets you apply a translucent layer or build up more intense coverage to even your skin tone and cover imperfections. It blends so seamlessly it is almost as if you are not wearing make-up. And now, this formula is infused with hyaluronic acid! It provides skincare benefits as it helps to smooth and improve skin texture and softness over time.",5,InStock,£,1000000474700,L'Oreal,53g,4.8,NewCondition,L'Oreal True Match Powder C2 Rose Vanilla,Toiletries & Beauty
3600524029869,7278939,6,1.2,100ml,"Helps fight dehydrated hair, the first sign of hair damageHair feels hydrated for up to 72 hours*Hair looks visibly plumped, bouncy and shiny**No weigh down**For all hair types and textures*Instrumental test**Consumer testDamaged, dehydrated hair? Try NEW Elvive Hydra Hyaluronic Moisture Boosting Shampoo with Hyaluronic Acid, from L'Oreal Paris. The formula, infused with Hyaluronic Acid, weightlessly coats hair to keep it feeling hydrated for up to 72 hours. The results? Hair looks visibly plumped, bouncy and shiny. Our scientifically proven skincare inspired formula helps tackle dehydrated, dry and damaged hair, the first sign of hair damage. Indicators of hair dehydration include dull and lifeless hair that is frizzy and lacking in bounce. Elvive Hydra Hyaluronic shampoo helps boost & lift hair to add volume, body & shine. Nourishing and conditioning stressed, damaged hair. Suitable for all hair textures: curly, wavy, straight, and coloured hair etc.",12,InStock,£,1000354154601,L'Oreal Elvive,500ml,5,NewCondition,L'Oreal Elvive Hydra Hyaluronic Acid Shampoo Moisturising for Dehydrated Hair,Toiletries & Beauty
3600523560813,6345141,8.95,8.4,10g,null,145,InStock,£,1000116564011,L'Oreal,10.65g,4.6207,NewCondition,L'Oreal Paris Life's a Peach Blush Powder,Toiletries & Beauty
3600521848920,3482290,3,1.2,100ml,"The ultra wicking micro capsules of antiperspirant provide the long lasting dry effect. Deodorant for men with ultra cooling effect - is ideal for a fresh scent on hot days. Anti-perspirant roll on combats body odour reliable and long-lasting protection. Anti-bacterial ingredients. Capacity: 50 ml.
Fresh Extreme, fights body odour with ultra absorbent Active Micro Captors to help combat wetness. Proven 48h* dry effect. Intense diffusion spray delivers active ingredients directly to the skin.",93,InStock,£,910000377156,L'Oreal Men Expert,250ml,4.5806,NewCondition,L'Oreal Men Expert Fresh Extreme 48H Anti-Perspirant Deodorant,Toiletries & Beauty
3600524127992,9063010,6.5,3.25,100ml,"Up to double the shine. Up to 88% more smooth. Instantly transform your hair for up to 5 x washes.
What makes it effective?Shiny hair is healthy-looking hair because its smooth surface perfectly reflects light. Hair damage disrupts cuticles, making fibres rough, porous, and dull unable to reflect light.Glycolic Gloss Sulphate-Free Shampoo is powered with [Glycolic Acid] which has a small molecular weight able to penetrate the hair & inject it with care. The Glycolic Gloss Complex contains conditioning agents to seal cuticles with a lasting shine glaze. Hair is shinier & smoother than ever before. Suitable for all:Effective on all hair types, ranging from straight, wavy, curly, and coily.*Consumer Use Test, women with dull hair, shampoo + conditioner. 78% of 160 UK women agreed** instrumental test after one application of the trinomen & 5 applications of the shampoo.*** instrumental test after application of the shampoo + conditioner.**** instrumental test after use of the shampoo + conditioner + rinse-off treatment.",194,InStock,£,1000383210262,L'Oreal Elvive,200ml,4.7784,NewCondition,L'Oreal Elvive Glycolic Gloss Sulphate Free Shampoo for Dull Hair 200ml,Toiletries & Beauty
3600522860747,5615878,6.95,13.9,10g,"Couture precision - defines your lip curves. Couture colours - matching Color Riche lipsticks. Couture formula - a perfect balance of precision, glide and colour.
Our new must-have lip liner",1,InStock,£,910002767573,L'Oreal,5g,2,NewCondition,L'Oreal Color Riche Lip Liner Couture 302 Bois de Rose,Toiletries & Beauty
3600522737933,4750249,10,10,each,"Covers up to 100% of greys. Gentle on scalp & hair. Nourished, healthy looking hair. Natural, multi-tonal colour result.
Includes our triple care colour ritual, 1. Caring colouring cream, 2. Caring gentle scalp post-colour shampoo, 3. Caring lightweight maskTriple Care Colour Ritual Hair Dye by ExcellenceCares for your colour. Cares for your scalp. Cares for your hair.1. Caring Colouring CreamEnriched with Pro-Keratin. Protects the hair as it colours. Long-lasting, multi-tonal colour.2. Caring Gentle Scalp Post-Colour ShampooDelicately cleanses the scalp and hair by gently rinsing away excess residue. Smooths the hair to reveal its radiance. Natural, multi-tonal colour result. Formulated specifically to be used right after colouring your hair3. Caring Lightweight MaskInfused with conditioning ingredients. Intensively nourishes the hair without weighing it down.",105,InStock,£,910001424044,L'Oreal Excellence,each,3.8476,NewCondition,L'Oreal Excellence Creme 8.12 Natural Frosted Beige Blonde Permanent Hair Dye,Toiletries & Beauty
3600524146672,9063022,6,1.2,100ml,"Up to 72H of a purified scalp & hydrated lengths1. Powered with Salicylic & Hyaluronic Acids. Removes excess oil & impurities without stripping natural moisture1. Boots moisture with no weigh down1. Effective on all hair types & silicone-free for a natural touch.
Washed your hair yesterday and roots already greasy?Discover NEW Elvive Hydra Pure 72h Purifying Shampoo by L'Oréal Paris! Inspired by skincare, our formula is powered with Salicylic Acid, which helps remove excess oil and impurities & Hyaluronic Acid for a boost of moisture.The result? Get up to 72h of a purified scalp & hydrated lengths1 without stripping natural moisture and no weigh down. Scalp is gently cleansed of: - Excess oil & grease- Impurities - Product build-up- Dead cellsWhat makes it effective?Grease or oil is totally natural and helps to moisturise your hair and scalp. However, it is important to regularly wash your hair to prevent excess build up. Our purifying shampoo is scientifically proven to bind to the excess oil and wash it away whilst maintaining natural moisture. It is also silicone-free for a natural touch.Suitable for all:Effective on all hair types, ranging from straight, wavy, curly, and coily.1Consumer test on 59 users, 72h after use of the serum + shampoo + conditioner.",194,InStock,£,1000383210142,L'Oreal Elvive,500ml,4.7474,NewCondition,L'Oreal Elvive Hydra Pure 72h Purifying Shampoo for Oily Scalp & Dehydrated Lengths 500ml,Toiletries & Beauty
3600520987675,3260955,10,10,each,"Crème formula helps to blends away grey hair for a natural-looking colour. Leaves your hair full of visible shimmering tones. Includes nourishing conditioner with coconut oil. No ammonia formula for a pleasant smell. Colour lasts up to 28 shampoos. For dark brown or black hair.
Achieve natural-looking colour with visible shimmering tones using Casting Crème Gloss. The no-ammonia crème formula blends away grey hair, and provides a luscious smell. Colour lasts up to 28 shampoos.After colouring, the conditioner is enriched with Coconut oil that reveals the richness of your brown hair. It leaves your hair soft and voluptuous with an exceptional shine.",189,InStock,£,910000283525,L'Oreal Casting,each,4.254,NewCondition,L'Oreal Casting Creme Gloss 200 Ebony Black Semi Permanent Hair Dye,Toiletries & Beauty
3600523951598,7310742,13.95,2.45,10g,"Resists water, sweat and heat. Available in 6 Shades. Longwear, long-lasting formula, providing 24-hour no colour transfer. An easily, blendable texture. Reduces the appearance of pores and controls oil and shine. Suitable for all skin types thanks to the non-comedogenic formula.
L'Oreal Paris Infallible 24H Freshwear foundation in a powder, covers like a foundation and mattifies like a powder.Want lasting coverage with a matte finish? Create a flawless finish with NEW Infallible 24H freshwear foundation in a powder by L'Oreal Paris. A one-step foundation in a powder that gives you the lasting coverage of a liquid foundation yet mattifies like a powder, for flawless skin that looks fresh hour after hour. Water, sweat and heat resistant. A longwear powder that stays put all day, with up to 24H wear. Discover the rest of the Infallible range (including our much loved 24h Freshwear foundation and our More Than Concealer), for the ultimate longwear makeup regime.",58,InStock,£,1000362425421,L'Oreal Paris,57g,4.4828,NewCondition,L'Oreal Paris Infallible 24H Fresh Wear Foundation in a Powder Shade 140 Golden Beige,Toiletries & Beauty
3600520987699,3260957,10,10,each,"Crème formula helps to blends away grey hair for a natural-looking colour. Leaves your hair full of visible shimmering tones. Includes nourishing conditioner with coconut oil. No ammonia formula for a pleasant smell. Colour lasts up to 28 shampoos. For dark brown hair.
Achieve natural-looking colour with visible shimmering tones using Casting Crème Gloss. The no-ammonia crème formula blends away grey hair, and provides a luscious smell. Colour lasts up to 28 shampoos.After colouring, the conditioner is enriched with Coconut oil that reveals the richness of your brown hair. It leaves your hair soft and voluptuous with an exceptional shine.",187,InStock,£,910000283548,L'Oreal Casting,each,4.262,NewCondition,L'Oreal Casting Creme Gloss 300 Darkest Brown Semi Permanent Hair Dye,Toiletries & Beauty
3600523965946,7681255,2.15,2.39,100ml,"Fulfill Your Long Hair Goals: Dream Lengths Detangling Conditioner works in affinity with the hair fibre from root to tip for stronger, healthier looking hair. Don't let tangles win! Achieve your long hair goals with our long hair routine. Start with our Dream Lengths Shampoo followed by our Dream Lengths Conditioner, No Haircut Cream, Saviour Hair Mask and Frizz Killer Serum.Caring Formula: enriched with a cocktail of vegetal keratin, hair vitamins and castor oil in a formula that nourishes long, damaged hair.Suitable for Long, Damaged Hair: Ideal for long, damaged hair types. It detangles hair and helps strengthen lengths to prevent hair breakage*, whilst nourishing with hair vitamins to keep long hair looking shiny.Dreaming of beautiful long hair, but struggling to achieve your dream lengths? Follow our secret to fulfil your long hair goals. Our Detangling Conditioner works in affinity with the hair fibre from root to tip for stronger, healthier looking lengths. Don't let tangles win!Our formula is enriched with a cocktail of Hair Vitamins:- Vegetal Keratin- Hair Vitamins- Castor OilIt detangles hair and helps strengthen lengths to prevent hair breakage*, whilst nourishing to keep long hair looking shiny.*Instrumental test after application of Dream Lengths Shampoo and Conditioner",89,InStock,£,1000383171532,L'Oreal Elvive,90ml,4.7191,NewCondition,L'Oreal Elvive Dream Lengths Conditioner for Long Damaged Hair,Toiletries & Beauty
3600523979226,6981868,3,3,100ml,"Enriched with natural volcanic minerals known for their super absorbing properties. Enriched with Salicylic Acid known for it's exfoliating effect. Purifies the skin. Helps fight spots. Leaves skin mattified.
Men Expert Pure Carbon 3 in 1 Face Wash 100ml is the perfect solution to fighting imperfections. Enriched with Natural Volcanic Materials and Salicylic Acid for super absorption and exfoliating effects. The formula works to cleanse and exfoliate skin to help protect against the appearance of spots. The wash absorbs sebum to leave skin looking mattified.",50,InStock,£,1000284510793,L'Oreal Men Expert,100ml,4.52,NewCondition,L'Oreal Men Expert Pure Carbon 3 in 1 Daily Face Wash,Toiletries & Beauty
3600524025540,7454678,21,10.5,10ml,"Visibly brightens dark circles and replumps eye lines for younger looking eyes. Cooling triple bead applicator targets puffiness and refreshes tired eyes. Validated by dermatologists and effective on all skin tones. Rapid absorption. Non-greasy finish. Layers well under make-up. Fragrance-free. Sensitive eyes and contact lens suitable.
The World's Number 1 Serum* Now for the Eyes.Introducing Revitalift Filler Eye serum with 2.5% [Hyaluronic acid + Caffeine]. Stress, screen time, lack of sleep and pollution can all take it's toll on our skin, and the delicate eye area where skin is up to 10x thinner and more sensitive is often the first place to show signs of ageing and fatigue. Revitalift Filler Eye serum with 2.5% [Hyaluronic acid + Caffeine] has been specifically formulated for the unique eye area and is proven to visibly brighten, smooth and replump eye lines for younger looking eyes. The formula is validated by dermatologists, effective on all skin tones and fragrance free.Macro and Micro Hyaluronic AcidWith both macro Hyaluronic Acid and a higher concentration of micro Hyaluronic Acid which penetrates deeper into the epidermis the serum intensely hydrates, visibly smooths and replumps eye lines.Caffeine and NiacinimideFormulated with Caffeine and 4% Niacinamide the serum targets dark circles leaving the skin around the eyes looking more radiant, energised, and brighter.Cooling Triple Bead ApplicatorThe unique cooling triple bead applicator with its 3 stainless steel beads, has been designed to maximise results by providing a gentle massage to the under eye and eye lids, targeting puffiness and refreshing tired eyes appearance.Layers Well Under Make-UpThe Revitalift Filler Eye Serum clear liquid formula is quickly absorbed and is non-greasy or oily layering perfectly under make-up. Use as part of your day and night routine with Revitalift Filler Dropper Serum for visibly hydrated, smooth and younger looking skin.Consumer test, 81% of 81 agree.",532,InStock,£,1000383119346,L'Oreal Paris,20ml,4.282,NewCondition,L'Oreal Paris Revitalift Filler 2.5% Hyaluronic Acid & Caffeine Eye Serum,Toiletries & Beauty
3600520070285,1038835,15,100,100ml,"Targets sagging and age spots. Enriched with Collagen AA Fractions and melanin block. In the morning, skin feels supple and more comfortable. Reduces the appearance of dark pigmentation.
Enriched with Collagen AA Fractions and Melanin Block, the retightening formula helps to firm facial contours to fight against skin sagging and to reduce the appearance of age spots. The rich, luxurious texture sinks into the skin to leave it feeling velvety soft and pampers the skin's natural replenishing function through the night. A source of intense hydration for mature and menopausal skin, skin feels nourished, more supple and more comfortable.Instant + Long Lasting Results: After 1 night: Skin feels nourished, more supple and comfortable. After 1 month: Age spots appear reduced. Skin feels denser. Sagging appears reduced. The contours of the face look remodeled. Giving a tighter more toned look from within. Dermatologically Tested",213,InStock,£,955887,L'Oreal Paris,15ml,4.6808,NewCondition,L'Oreal Paris Age Perfect Reinforcing Mature Skin Eye Cream,Toiletries & Beauty
3600524031107,9019705,13.95,6.07,10g,"Pro XXL Lash Extension mascara offers salon-like results, Provides salon eyelash extension in only two quick, easy stepsExtended eyelash look lasts up to 24 hours, No clumps, no smudge and flake-freeCoat lashes with the volumising primer evenly for up to 12x more volume*. Intensify your lashes with fibres for +72% lengthening effect**.Offers a +72% lengthening effect, Provides 12x buildable volume, Dual sided brush, Inspired by beauty salons and powered by scienceWho needs the salon? Be your own pro with PRO XXL Extension, a mascara inspired by salons and powered by science. Our 2 step mascara, is powered by fibres provides a lash extension effect. First step, coat lashes evenly with a super sizing black primer for 12x more volume*. Next step, layer the super fibres for +72% lengthening effect**. No clumps, smudge or flake. *Instrumental test on 29 volunteers **Instrumental test on 25 volunteers.",0,InStock,£,1000383191995,L'Oreal Paris,23g,0,NewCondition,L'Oreal Paris Pro XXL Extension Black Mascara,Toiletries & Beauty
3600520815626,3006636,12.95,3.7,10g,"2-step mascara featuring a conditioning base coat and an intense colour formula to extend your lashes up to 60%.
To answer the need of women who want lashes with incredible length and a look that is truly spectacular L'Oréal Paris introduces Double Extension, their first conditioning, extending mascara which respects your lashes & makes them look up to 60% longer!L'Oréal Paris Double Extension Mascara is a 2 step Mascara which is composed ofA conditioning white base coat with Ceramide R which contains natural fibres that act like extensions to visibly lengthen the appearance of your lashesA lengthening Mascara with a patented brush which evenly distributes intense colour from root to tip, with virtually no clumping.The result? Your lashes look incredibly lengthened, and separated.Step 1: Ultra lengthening, conditioning base coat with Ceramide R.Step 2: Intense colour with virtually no clumping.",23,InStock,£,910000051320,L'Oreal,each,2.3913,NewCondition,L'Oreal Double Extension Carbon Black Mascara,Toiletries & Beauty
3600522230878,3944289,5.25,1.05,100ml,"Britain's No.1 for Coloured Hair*: Coloured or highlighted hair? Try Britain's No.1 brand for coloured hair* Elvive Colour Protect. Our best shampoo for coloured hair, this range will protect colour vibrancy for up to 10 weeks**.Caring Formula: Enriched with red peony and UV filters that works in affinity with the hair fibre from root to tip Elvive Colour Protect shampoo will nourish, revive and protect coloured hair. It helps protect your colour for up to 10 weeks***.Suitable for Coloured or Highlighted Hair: Ideal for coloured hair types. Elvive Colour Protect shampoo protects hair against external aggressions and prolongs colour vibrancy**.Blonde, Highlighted or Silver Hair? This range of shampoo works together with our Purple Anti-Brassiness range. Elvive purple shampoo helps to neutralise brassy tones and leave hair looking beautiful and bright. Use as a weekly treatment alongside your daily Colour Protect routine.L'Oreal Shampoo by Elvive Colour Protect for Coloured or Highlighted Hair - Coloured or highlighted hair? Try Britain's No.1 brand for coloured hair* L'Oreal Elvive Colour Protect. Elvive Colour Protect caring shampoo is our best shampoo for coloured hair, enriched with red peony and UV filters, it works in affinity with the hair fibre from root to tip to nourish, revive and protect coloured hair:- Helps protect your colour for up to 10 weeks***.- Protects hair against external aggressions.- Elvive colour protect shampoo prolongs colour vibrancy**- Suitable for coloured or highlighted hair. - Use Elvive Colour Protect Shampoo as part of your full colour protection hair routine, followed by Colour Protect Conditioner, Mask and UV Oil. Apply Colour Protect Shampoo on wet hair, focusing on lengths and ends. Leave for one minute, then rinse. Follow with L'Oreal Colour Protect Conditioner. In case of contact with eyes, rinse them immediately and thoroughly.* Source: ©2020 Nielsen data, value and units, Haircare category (client defined) 52 w/e 16/05/20 in United Kingdom (GB+NI) Total Coverage. https://www.loreal-paris.co.uk/elviveno1*©2018 Nielsen data, value & units, Haircare (client defined) 52 w/e 06/10/18 GB Total Coverage**Consumer test on 170 women after application of the Colour Protect Shampoo & conditioner. ***Instrumental test after application of the Colour Protect Shampoo, conditioner and Extraordinary Oil for Coloured Hair.",283,InStock,£,910000801859,L'Oreal Elvive,500ml,4.689,NewCondition,L'Oreal Elvive Colour Protect Shampoo for Coloured or Highlighted Hair,Toiletries & Beauty
3600524026684,7310716,7.95,13.25,10ml,"Available in 5 vibrant shades. Up to 36h wear. Waterproof. Transferproof. Includes smudger and sharpener.
Discover new Infallible Grip 36h Gel Automatic Eyeliner by L'Oreal. Our 1st semi-permanent eyeliner inspired by adhesive technologies. An easy glide formula that once dry transform into self-gripping strokes for a look that does smudge for up to 36h! So, you can create sharp lines or smudged lines and once dry it will not transfer!",133,InStock,£,1000362424934,L'Oreal Paris,6ml,4.6015,NewCondition,L'Oreal Paris Infallible Grip 36h Gel Automatic Eyeliner Semi Permanent Electric Blue,Toiletries & Beauty
3600523017997,5516507,12,12,each,"Preference by L'Oréal Paris is an expert of fade-defying hair colour. Directions hair dye: refer to leaflet in the pack. Always check the colour result on pack depending on current hair colour. Follow the instruction leaflet and read the safety information. Be colour safe, always patch test 48 hours before use.
The permanent blonde hair dye provides a rich and long lasting hair colour with optimal grey hair coverage.Leaves your hair full of luminous reflects whilst intensifying the natural tones of your hair colour.The translucent Gel powered formula means the product is suitable for all hair types and gives maximum colour performance leaving hair feeling soft and smooth.There are over 30 shades of hair colour available including: red hair dye, brown hair dye, black hair dye, purple hair dye and blonde hair dye.With every shade giving you an intense long-lasting and shiny colour, full of beautiful reflects.- Luminous Colour Full of Reflects - The formula intensifies the natural tones of your hair colour with luminous reflects- Long Lasting - Unique shades with light-reflecting and long lasting dyes.- Permanent Hair Colour - Intense natural colour with permanent results. Always follow the instruction leaflet and read the safety information.- New Precious Oil & Fragrance - Enriched with precious oils and floral fragrance with amber notes for an improved sensorial experience at application.- Shine Protect Conditioner - The shine protect conditioner is enriched with UV filter & vitamin E derivative to help preserve the radiance of your coloured hair.Shade 11.11 VeniceShade 11.11 was inspired by the most romantic of Italian landmarks: Venice. Enhanced with cool reflects, this ultra-light crystal blonde is as pure and timeless as the morning light reflecting on the canals. An ideal blonde for all seasons and all skin tones.Luminous Colour Full of ReflectsThe translucent gel formula associated with the new precious oil drop intensifies natural tones of your hair colour.Discover the unique shades of Préférence with light-reflecting dyes, for a luminous colour full of reflects.New Sensorial FragranceA new floral fragrance with amber notes for an improved sensorial experience at application.Shine Protect ConditionerEnriched with a UV filter and Vitamin E derivative. Use week after week to preserve the shine of your coloured hair.",1119,InStock,£,910002552384,L'Oreal Preference,each,4.2037,NewCondition,L'Oreal Preference Infinia 11.11 Ultra Light Crystal Blonde Hair Dye,Toiletries & Beauty
3600524135645,9063013,6.5,4.33,100ml,"Instantly transform your hair for up to 5 x washes. Up to double the shine. Up to 88% more smooth.
Want to get the shiniest hair of your life*? Discover L'Oreal Paris Elvive Glycolic Gloss Conditioner, the 2nd step of our new at-home glossing routine. Powered with [Glycolic Acid] known for its multiple benefits in skincare, the 11% Gloss Complex with [Glycolic Acid] penetrates the hair's fibre improving shine, smoothness & strength. Instantly transform your hair for up to 5 x washes.**The result?The Gloss Complex with [Glycolic Acid] has a lightweight smoothing effect on hair as it perfectly smoothens the fibre's surface. Hair is shiny, smooth & soft to touch.What makes it effective?Shiny hair is healthy-looking hair because its smooth surface perfectly reflects light. Hair damage disrupts cuticles, making fibres rough, porous, and dull unable to reflect light.Glycolic Gloss Conditioner is powered with [Glycolic Acid] which has a small molecular weight able to penetrate the hair & inject it with care. The Glycolic Gloss Complex contains conditioning agents to seal cuticles with a lasting shine glaze. Hair is shinier & smoother than ever before. Suitable for all:Effective on all hair types, ranging from straight, wavy, curly, and coily.*Consumer Use Test, women with dull hair, shampoo + conditioner. 78% of 160 UK women agreed** instrumental test after one application of the trinomen & 5 applications of the shampoo.*** instrumental test after application of the shampoo + conditioner.**** instrumental test after use of the shampoo + conditioner + rinse-off treatment.",384,InStock,£,1000383210266,L'Oreal Elvive,150ml,4.7708,NewCondition,L'Oreal Elvive Glycolic Gloss Conditioner for Dull Hair 150ml,Toiletries & Beauty
30173620,6345123,10.95,7.67,10g,"Full coverage with a natural matte finish. Ultra-blendable formula. Up to 24H wear. Doesn't crease or settle into fine lines. Large doe foot applicator for perfect on-the-go application.
Whatever your concern; blemishes, dark circles, uneven skin tone, we've got you covered with Infallible 24H More Than Concealer. It corrects, contours & highlights, that's why it's our ‘More Than Concealer'. The high pigment elastic formula gives you a full coverage finish with a lightweight feel. The longwear formula doesn't crease or settle into fine lines. Use the doe foot applicator to dab, dot or swipe with expert precision and ease, and blend seamlessly for a natural matte finish.",26,InStock,£,1000116564140,L'Oreal,14.28g,4.6538,NewCondition,L'Oreal Paris Infallible More Than Concealer 327 Cashmere,Toiletries & Beauty
3600521377024,3807636,11.95,14.94,10ml,"Precision multi-comb. Intensity lash by lash.
High-Precision Intensity for Longer Looking Lashes.In a flash of a stroke…up to 60% longer looking lashes and intensity lash by lashThe high-precision flexible multi-comb is made of supple elastomer bristles that help give a precise application. The flat surfaces of the multi-comb stretch the formula from the roots of your lashes right through to the tips.",360,InStock,£,910000521735,L'Oreal,8ml,4.3028,NewCondition,L'Oreal Telescopic Mascara Carbon Black,Toiletries & Beauty
5011408000160,32381,12,12,each,"Up to 8 weeks of fade-defying colour. Lustrous day-1 colour and shine. Ultra-intense.
L'Oreal Paris Preference, the expert of permanent, fade-defying luminous hair colour. Our translucent gel technology together with our precious shine oil give the ultimate luminous colour full of reflects. Use the shine protect conditioner enriched with a UV filter and Vitamin E derivative to preserve the shine of your coloured hair for up to 8 weeks. Our Shine Oil is enriched with precious flower oils to intensify the natural tones of your hair colour. Infused with a sensorial fragrance for an improved experience at application. Be colour safe and always do your 48-hour patch test. Born in the 1970's, Preference has over 50 years of creating at home hair colour proven to give you a fade defying- multi-tonal colour result. The iconic ‘You're Worth It' tagline was created for Preference 50 years ago and still to this day remains at the heart of the brand. Be colour safe and always do your 48 hour patch test.",88,InStock,£,390780,L'Oreal Preference,each,4.1932,NewCondition,L'Oreal Preference Infinia 5 Palma Natural Light Brown Permanent Hair Dye,Toiletries & Beauty
3600521637142,2984460,3.5,2.33,100ml,"No visible residue. Gentle on hair. No stickiness, stiffness and flaking.
L'Oreal Studio Line Invisi Hold Gel Extra Strength gives up to 24 hours extra strength hold. An invisible supple hold for a natural looking style.No visible residueGentle on hairNo stickinessNo stiffnessNo flaking*Instrumental Test",1,InStock,£,910000046008,L'Oreal,150ml,3,NewCondition,L'Oreal Studio Line Invisible Extra Strength Hair Gel,Toiletries & Beauty
5011408000139,39335,12,12,each,"Up to 8 weeks of fade-defying colour. Lustrous day-1 colour and shine. Ultra-intense.
L'Oreal Paris Preference, the expert of permanent, fade-defying luminous hair colour. Our translucent gel technology together with our precious shine oil give the ultimate luminous colour full of reflects. Use the shine protect conditioner enriched with a UV filter and Vitamin E derivative to preserve the shine of your coloured hair for up to 8 weeks. Our Shine Oil is enriched with precious flower oils to intensify the natural tones of your hair colour. Infused with a sensorial fragrance for an improved experience at application. Be colour safe and always do your 48-hour patch test. Born in the 1970's, Preference has over 50 years of creating at home hair colour proven to give you a fade defying- multi-tonal colour result. The iconic ‘You're Worth It' tagline was created for Preference 50 years ago and still to this day remains at the heart of the brand. Be colour safe and always do your 48 hour patch test.",951,InStock,£,390854,L'Oreal Preference,each,4.205,NewCondition,L'Oreal Preference Infinia 3 Brasilia Dark Brown Permanent Hair Dye,Toiletries & Beauty
3600521848289,7357507,2.25,4.5,100ml,"Packed with active micro captors to leave you with an icy fresh feeling. Proven 48hr dry effect. Contains no alcohol. XXL roll on, specifically designed for men. Capacity 50ml.
L'Oréal Men Expert Fresh Extreme with ultra absorbent technology to help combat wetness.",83,InStock,£,1000374780715,L'Oreal Men Expert,50ml,4.7108,NewCondition,L'Oreal Men Expert Fresh Extreme 48H Roll On Anti-Perspirant Deodorant,Toiletries & Beauty
30145429,7310722,9.95,3.98,10g,"Up to 16 hour wear. Transfer-resistant finish. Infused with hyaluronic acid. Lips feel moisturised all day. Slim design for precise application.
Color riche goes slimer, more longwear, more hydrating and more matte with Color Riche Intense Volume Matte. A matte with up to 16 hour wear infused with a caring formula, infused with hyaluronic acid, to keep lips feeling moisturised all day. The matte of your dreams: powdery, lightweight and creamy. This lipstick volumizes lips for plumper looking lips all day with a transfer-resistant finish. Never flat. Never dry. The new slim packaging allows for easier, more precise application, to accentuate your lip shape. A new lipstick designed for women who believe in their choices. Available in 12 intense, powdery matte shades of conviction that beautify every lip tone.",1,InStock,£,1000362424947,L'Oreal Paris,25g,5,NewCondition,L'Oreal Paris Color Riche Intense Volume Matte 16hr Volumizing Matte Lipstick 480 Plum Dominant,Toiletries & Beauty
